Timestamp,Who are you?,"At what time, do you prefer to visit a Restaurant?",How much money do you typically spend per person for a meal at a restaurant in Pondicherry?,"When you visit a Restaurant, how important are the following? (5 being the most important)? [Quality of Food]","When you visit a Restaurant, how important are the following? (5 being the most important)? [Friendly/Fast Service]","When you visit a Restaurant, how important are the following? (5 being the most important)? [Special Ordering/Customizing Your Meal]","When you visit a Restaurant, how important are the following? (5 being the most important)? [Convenience/Location]","When you visit a Restaurant, how important are the following? (5 being the most important)? [Price]","When you visit a Restaurant, how important are the following? (5 being the most important)? [Dining Environment]",Would you like to try cuisines that are inspired from different cultures and that are currently unavailable in Pondicherry?,What type of dining room do you prefer?,How do you inform yourself about the restaurants of Pondicherry?,What is your gender?,What is your age?,"To help us preserve the integrity of this survey, please write your name and sign below."
1/31/2017 16:32:17,Local Resident,Evening Snacks,₹ 75-150,1,,,,,,May be,Relaxed,Banner Ads & Leaflet,Female,16-21,
1/31/2017 16:32:45,Local Resident,Lunch,₹ 150-250,1,1,3,4,,1,May be,Formal,Recommendation from friends,Male,22-30,
1/31/2017 16:33:13,Local Resident,Breakfast,₹ 75-150,1,2,3,3,3,3,May be,Relaxed,Banner Ads & Leaflet,Male,22-30,
1/31/2017 16:33:55,Tourist,Dinner,₹ 250-350,3,2,3,2,3,1,May be,Fast Casual,Banner Ads & Leaflet,Male,22-30,
1/31/2017 16:34:41,Local Resident,Evening Snacks,₹ 75-150,2,5,3,2,3,1,No,Relaxed,Recommendation from friends,Male,22-30,
1/31/2017 16:35:23,Tourist,Lunch,₹ 75-150,1,2,2,2,1,1,May be,Doesn't Matter,Random,Female,16-21,
1/31/2017 16:36:02,Local Resident,Lunch,₹ 75-150,1,1,,3,3,3,Yes,Formal,Recommendation from friends,Male,16-21,
1/31/2017 16:36:56,Tourist,Lunch,₹ 150-250,1,2,2,4,3,3,May be,Fast Casual,Internet,Female,,
1/31/2017 16:37:47,Local Resident,Lunch,₹ 250-350,1,1,4,4,4,4,May be,Formal,Recommendation from friends,Female,22-30,
1/31/2017 16:38:17,Local Resident,Evening Snacks,₹ 75-150,2,4,2,4,2,4,Yes,Relaxed,Banner Ads & Leaflet,Male,22-30,
1/31/2017 16:38:54,Local Resident,Lunch,₹ 75-150,1,3,2,3,1,4,No,Fast Casual,Banner Ads & Leaflet,Female,22-30,
1/31/2017 16:39:39,Local Resident,Lunch,₹ 75-150,1,1,1,3,5,2,May be,Formal,Recommendation from friends,Female,16-21,
1/31/2017 16:40:33,Local Resident,Breakfast,₹ 150-250,2,3,2,1,3,1,Yes,Doesn't Matter,Internet,Female,22-30,
1/31/2017 16:41:05,Local Resident,Breakfast,₹ 150-250,2,4,2,4,2,4,Yes,Relaxed,Random,Female,16-21,
1/31/2017 16:41:43,Local Resident,Lunch,₹ 75-150,,1,,,,,May be,Relaxed,Banner Ads & Leaflet,Female,16-21,
1/31/2017 16:42:52,Tourist,Breakfast,₹ 75-150,1,4,2,3,,2,Yes,Relaxed,Recommendation from friends,Male,31-40,
1/31/2017 16:44:07,Local Resident,Lunch,₹ 75-150,5,3,2,5,3,4,Yes,Formal,Recommendation from friends,Male,16-21,
1/31/2017 16:44:45,Local Resident,Evening Snacks,₹ 150-250,5,3,1,4,2,4,Yes,Relaxed,Random,Female,16-21,
1/31/2017 16:45:53,Local Resident,Lunch,₹ 0-75,1,,,,,,May be,Formal,Random,Male,22-30,
1/31/2017 16:46:31,Local Resident,Lunch,₹ 75-150,1,2,3,1,1,1,May be,Relaxed,Banner Ads & Leaflet,Female,22-30,
1/31/2017 16:47:00,Local Resident,Lunch,₹ 75-150,1,,,,,,No,Relaxed,Banner Ads & Leaflet,Female,16-21,
1/31/2017 16:47:41,Local Resident,Lunch,₹ 75-150,3,3,4,2,3,3,May be,Relaxed,Banner Ads & Leaflet,Female,22-30,
1/31/2017 16:48:12,Tourist,Lunch,₹ 150-250,1,1,1,1,3,1,May be,Relaxed,Internet,Male,22-30,
1/31/2017 16:48:44,Tourist,Lunch,₹ 150-250,1,3,4,3,5,3,May be,Relaxed,Banner Ads & Leaflet,Male,31-40,
1/31/2017 16:49:19,Local Resident,Dinner,₹ 75-150,1,2,4,1,1,2,May be,Relaxed,Internet,Male,16-21,
1/31/2017 16:50:51,Tourist,Lunch,₹ 75-150,1,3,5,1,3,3,No,Doesn't Matter,Random,Female,31-40,
1/31/2017 16:51:29,Local Resident,Lunch,₹ 150-250,4,2,1,4,3,5,Yes,Relaxed,Recommendation from friends,Male,22-30,
1/31/2017 16:51:59,Tourist,Lunch,₹ 75-150,1,2,1,2,2,1,May be,Formal,Recommendation from friends,Female,16-21,
1/31/2017 16:52:49,Local Resident,"Lunch, Dinner",₹ 75-150,3,2,3,2,1,2,Yes,Doesn't Matter,Recommendation from friends,Female,41-50,
1/31/2017 16:53:26,Local Resident,Breakfast,₹ 0-75,3,3,2,2,4,2,No,Formal,Banner Ads & Leaflet,Female,22-30,
1/31/2017 16:54:06,Local Resident,Lunch,₹ 75-150,1,4,1,4,1,1,May be,Formal,Random,Male,16-21,
1/31/2017 16:54:41,Local Resident,Dinner,₹ 75-150,1,4,2,3,1,4,May be,Formal,Recommendation from friends,Male,16-21,
1/31/2017 16:55:14,Local Resident,Lunch,₹ 75-150,3,,,,,,Yes,Formal,Recommendation from friends,Male,22-30,
1/31/2017 16:55:50,Local Resident,Dinner,₹ 75-150,1,1,2,1,2,1,Yes,Fast Casual,Internet,Male,22-30,
1/31/2017 16:56:56,Local Resident,Breakfast,₹ 75-150,1,3,,,,,No,Doesn't Matter,Random,Female,22-30,
1/31/2017 16:57:47,Tourist,Lunch,₹ 75-150,1,2,1,2,2,2,May be,Formal,Recommendation from friends,Female,16-21,
1/31/2017 16:58:48,Tourist,Evening Snacks,₹ 75-150,1,2,1,2,3,2,,Formal,Banner Ads & Leaflet,Female,16-21,
1/31/2017 16:59:27,Local Resident,Evening Snacks,₹ 75-150,,,,2,,,May be,Formal,Random,Male,16-21,
1/31/2017 16:59:56,Local Resident,Evening Snacks,₹ 350+,1,3,1,1,3,1,May be,Relaxed,Recommendation from friends,Female,16-21,
1/31/2017 17:00:48,Local Resident,Lunch,₹ 150-250,3,1,1,3,5,1,May be,Relaxed,Recommendation from friends,Male,16-21,
1/31/2017 17:01:23,Tourist,Breakfast,₹ 150-250,2,2,4,3,2,4,May be,Formal,Internet,Female,31-40,
1/31/2017 17:02:59,Local Resident,Breakfast,₹ 75-150,1,2,3,1,5,2,No,Fast Casual,Recommendation from friends,Female,22-30,
1/31/2017 17:03:30,Local Resident,Dinner,₹ 75-150,1,3,3,2,3,3,May be,Relaxed,Recommendation from friends,Female,22-30,
1/31/2017 17:04:07,Local Resident,Lunch,₹ 350+,1,1,1,2,4,1,May be,Doesn't Matter,Internet,Female,16-21,
1/31/2017 17:04:34,Tourist,Lunch,₹ 250-350,2,3,3,1,1,2,May be,Doesn't Matter,Random,Female,22-30,
1/31/2017 17:05:04,Local Resident,Lunch,₹ 75-150,1,2,4,1,3,1,No,Relaxed,Random,Male,31-40,
1/31/2017 17:05:38,Local Resident,Lunch,₹ 75-150,1,2,1,2,1,1,May be,Doesn't Matter,Random,Female,22-30,
1/31/2017 17:06:19,Tourist,Evening Snacks,₹ 350+,1,1,1,2,1,1,Yes,Relaxed,Internet,Male,22-30,
1/31/2017 17:07:31,Local Resident,Dinner,₹ 75-150,4,2,3,2,4,2,Yes,Relaxed,Recommendation from friends,Male,41-50,
1/31/2017 17:08:21,Tourist,"Evening Snacks, Dinner",₹ 150-250,1,3,4,,2,5,Yes,Relaxed,Recommendation from friends,Female,50+,
1/31/2017 17:08:52,Local Resident,Dinner,₹ 350+,5,3,2,4,2,3,No,Relaxed,Recommendation from friends,Female,22-30,
1/31/2017 17:09:26,Local Resident,Evening Snacks,₹ 75-150,3,4,3,,2,4,May be,Doesn't Matter,Recommendation from friends,Male,16-21,
1/31/2017 17:10:05,Local Resident,Lunch,₹ 0-75,4,5,3,2,4,2,May be,Formal,Recommendation from friends,Male,31-40,
1/31/2017 17:11:03,Tourist,Dinner,₹ 75-150,1,5,2,1,2,2,,Formal,Recommendation from friends,Male,22-30,
1/31/2017 17:11:39,Local Resident,Lunch,₹ 75-150,2,5,4,5,3,4,,Formal,Recommendation from friends,Female,16-21,
1/31/2017 17:12:17,Tourist,Dinner,₹ 250-350,5,4,3,5,4,5,May be,Relaxed,Random,Male,50+,
1/31/2017 19:22:43,Tourist,Dinner,,1,1,2,2,2,2,Yes,Doesn't Matter,"Recommendation from friends, Banner Ads & Leaflet",Female,50+,
1/31/2017 19:23:44,Local Resident,Dinner,₹ 75-150,1,2,,1,3,2,May be,Formal,Recommendation from friends,Female,16-21,
1/31/2017 19:24:19,Local Resident,Lunch,₹ 0-75,1,2,3,3,2,2,Yes,Formal,Random,Female,50+,
1/31/2017 19:24:59,Tourist,Breakfast,₹ 75-150,5,5,5,5,5,5,Yes,Doesn't Matter,Internet,Female,22-30,
1/31/2017 19:27:14,Tourist,Dinner,₹ 150-250,5,4,4,4,4,4,May be,Relaxed,Random,Male,22-30,
1/31/2017 19:27:41,Tourist,Lunch,₹ 0-75,1,2,2,1,1,2,May be,Formal,Recommendation from friends,Female,22-30,
1/31/2017 19:28:10,Local Resident,Dinner,₹ 250-350,5,4,3,1,1,5,Yes,Doesn't Matter,Recommendation from friends,Male,22-30,
1/31/2017 19:28:48,Local Resident,Dinner,₹ 75-150,1,1,1,1,2,1,No,Formal,Random,Male,16-21,
1/31/2017 19:29:17,Local Resident,Lunch,₹ 75-150,2,1,1,3,1,5,May be,Relaxed,Recommendation from friends,Female,16-21,
1/31/2017 19:29:47,Tourist,Lunch,₹ 75-150,1,2,1,1,2,2,Yes,Formal,Internet,Female,16-21,
1/31/2017 19:30:17,Local Resident,"Breakfast, Lunch, Evening Snacks, Dinner",₹ 75-150,5,5,1,3,1,2,Yes,Relaxed,Banner Ads & Leaflet,Male,22-30,
1/31/2017 19:30:45,Local Resident,Lunch,₹ 0-75,5,1,1,1,5,5,Yes,Relaxed,Recommendation from friends,Male,22-30,
1/31/2017 19:31:15,Local Resident,Lunch,₹ 75-150,1,5,2,3,1,3,May be,Relaxed,Random,Female,16-21,
1/31/2017 19:32:52,Local Resident,Lunch,₹ 0-75,1,3,3,3,2,3,Yes,Formal,Banner Ads & Leaflet,Female,41-50,
1/31/2017 19:33:49,Local Resident,Lunch,₹ 0-75,1,2,1,2,1,2,May be,Formal,Recommendation from friends,Male,16-21,
1/31/2017 19:34:24,Local Resident,Lunch,₹ 75-150,1,2,1,2,2,1,May be,Formal,Recommendation from friends,Male,16-21,
1/31/2017 19:34:57,Local Resident,Lunch,₹ 0-75,1,2,2,1,2,2,May be,Formal,Recommendation from friends,Female,16-21,
1/31/2017 19:35:25,Local Resident,Lunch,₹ 75-150,1,1,2,1,2,2,,Fast Casual,Banner Ads & Leaflet,Male,22-30,
1/31/2017 19:36:01,Tourist,Lunch,₹ 75-150,1,2,1,2,1,2,May be,Formal,Recommendation from friends,Female,16-21,
1/31/2017 19:37:34,Local Resident,Dinner,₹ 75-150,3,3,4,3,4,2,Yes,Fast Casual,Recommendation from friends,Male,22-30,
1/31/2017 19:38:05,Tourist,Lunch,₹ 0-75,1,2,1,2,1,1,May be,Formal,Recommendation from friends,Male,16-21,
1/31/2017 19:38:36,Local Resident,Lunch,₹ 150-250,1,2,2,1,2,2,May be,Formal,Recommendation from friends,Male,31-40,
1/31/2017 19:39:09,Local Resident,Lunch,₹ 75-150,1,3,3,1,3,,Yes,Formal,Recommendation from friends,Male,50+,
1/31/2017 19:39:41,Tourist,Dinner,₹ 150-250,4,4,1,3,5,2,Yes,Relaxed,Internet,Male,22-30,
1/31/2017 19:40:10,Tourist,Evening Snacks,₹ 75-150,5,4,3,3,3,5,Yes,Relaxed,Random,Female,41-50,
1/31/2017 19:40:31,Local Resident,Breakfast,₹ 75-150,,,,,,,May be,Fast Casual,Recommendation from friends,Female,22-30,
1/31/2017 19:40:57,Local Resident,Lunch,₹ 0-75,1,2,2,1,1,2,May be,Formal,Recommendation from friends,Female,16-21,
1/31/2017 19:41:29,Local Resident,Lunch,₹ 150-250,5,4,3,4,3,3,May be,Formal,Random,Male,22-30,
1/31/2017 19:41:57,Local Resident,Evening Snacks,₹ 75-150,5,5,2,3,3,1,,,,,,
1/31/2017 19:42:24,Local Resident,Dinner,₹ 150-250,5,5,3,5,3,2,,Formal,Random,Male,22-30,
1/31/2017 19:42:47,Tourist,Dinner,₹ 350+,5,5,5,5,5,5,Yes,Formal,Recommendation from friends,Female,22-30,
1/31/2017 19:43:16,Local Resident,Dinner,₹ 75-150,4,5,4,4,4,3,Yes,Formal,Recommendation from friends,Male,22-30,
1/31/2017 19:43:43,Local Resident,Lunch,₹ 75-150,4,4,3,3,3,3,Yes,Formal,Recommendation from friends,Female,31-40,
1/31/2017 19:44:16,Tourist,Dinner,₹ 350+,5,5,5,5,5,5,Yes,Formal,Recommendation from friends,Female,31-40,
1/31/2017 19:45:00,Local Resident,Breakfast,₹ 0-75,3,4,2,3,3,3,Yes,Formal,Recommendation from friends,Female,50+,
1/31/2017 19:46:46,Local Resident,Lunch,₹ 350+,5,4,3,3,3,3,May be,Formal,Recommendation from friends,Female,22-30,
1/31/2017 19:47:31,Tourist,Dinner,₹ 150-250,5,5,5,5,5,4,Yes,Formal,Recommendation from friends,Female,41-50,
1/31/2017 19:49:56,Tourist,Dinner,₹ 150-250,5,3,4,2,3,4,May be,Formal,Random,Female,31-40,
1/31/2017 19:50:27,Tourist,Lunch,₹ 150-250,5,5,3,5,5,5,,Formal,Recommendation from friends,Female,22-30,
1/31/2017 19:50:59,Local Resident,Dinner,₹ 150-250,5,5,4,5,4,,Yes,Formal,Recommendation from friends,Male,22-30,
1/31/2017 19:51:29,Local Resident,Lunch,₹ 75-150,5,5,3,4,2,3,May be,Formal,Random,Female,22-30,
1/31/2017 19:52:11,Local Resident,Lunch,₹ 75-150,4,4,2,4,3,3,Yes,Formal,Recommendation from friends,Female,31-40,
1/31/2017 19:52:39,Tourist,Lunch,₹ 75-150,4,2,4,5,3,4,Yes,Relaxed,Internet,Male,50+,
1/31/2017 19:53:15,Local Resident,"Lunch, Dinner",₹ 75-150,3,2,2,3,2,4,Yes,Formal,Recommendation from friends,Female,50+,
1/31/2017 19:54:18,Local Resident,"Lunch, Dinner",₹ 150-250,4,3,4,3,4,4,Yes,Formal,Recommendation from friends,Female,22-30,
1/31/2017 19:54:57,Local Resident,"Breakfast, Lunch, Dinner",₹ 150-250,4,3,2,3,2,4,Yes,Relaxed,Internet,Male,31-40,
1/31/2017 19:55:32,Tourist,"Lunch, Dinner",₹ 150-250,4,4,3,2,4,5,Yes,Relaxed,Recommendation from friends,Female,22-30,
1/31/2017 19:56:03,Local Resident,Lunch,₹ 75-150,2,1,2,3,2,2,Yes,Doesn't Matter,"Recommendation from friends, Banner Ads & Leaflet",Female,16-21,
1/31/2017 19:56:32,Local Resident,Lunch,₹ 75-150,2,3,2,3,2,2,Yes,Doesn't Matter,Recommendation from friends,Female,41-50,
1/31/2017 19:57:15,Local Resident,Lunch,₹ 75-150,3,2,3,1,3,2,Yes,Doesn't Matter,Banner Ads & Leaflet,Female,41-50,
1/31/2017 19:57:47,Local Resident,"Lunch, Dinner",₹ 75-150,2,3,2,3,2,3,Yes,Formal,"Recommendation from friends, Banner Ads & Leaflet",Female,16-21,
1/31/2017 19:58:43,Local Resident,"Breakfast, Lunch, Dinner",₹ 150-250,4,2,3,4,2,3,Yes,Relaxed,Recommendation from friends,Female,31-40,
1/31/2017 19:59:14,Local Resident,Lunch,₹ 75-150,2,1,3,2,1,2,Yes,Formal,Recommendation from friends,Female,22-30,
1/31/2017 19:59:56,Local Resident,Lunch,₹ 0-75,1,4,2,4,2,1,Yes,Formal,Recommendation from friends,Female,22-30,
1/31/2017 20:00:33,Local Resident,"Breakfast, Lunch, Dinner",₹ 150-250,2,3,1,,3,1,Yes,Formal,Recommendation from friends,Female,22-30,
1/31/2017 20:01:19,Local Resident,Evening Snacks,₹ 75-150,3,5,2,3,1,1,Yes,Formal,"Recommendation from friends, Banner Ads & Leaflet",,22-30,
1/31/2017 20:01:56,Local Resident,Dinner,₹ 75-150,2,4,2,4,3,5,Yes,Doesn't Matter,Recommendation from friends,Female,16-21,
1/31/2017 20:02:39,Local Resident,"Lunch, Dinner",₹ 75-150,4,2,4,2,1,4,Yes,Formal,"Recommendation from friends, Internet",Female,22-30,
1/31/2017 20:03:11,Tourist,Evening Snacks,₹ 0-75,,,3,,,,May be,Doesn't Matter,Recommendation from friends,Female,22-30,
1/31/2017 20:03:49,Local Resident,Evening Snacks,₹ 150-250,2,2,1,,2,,Yes,Formal,Recommendation from friends,Female,22-30,
1/31/2017 20:04:22,Local Resident,Dinner,₹ 150-250,3,1,1,2,1,3,Yes,Formal,Recommendation from friends,Female,16-21,
1/31/2017 20:04:56,Local Resident,"Lunch, Dinner",₹ 75-150,3,2,3,4,2,3,Yes,Doesn't Matter,"Recommendation from friends, Banner Ads & Leaflet",Female,41-50,
1/31/2017 20:05:47,Local Resident,"Lunch, Dinner",₹ 75-150,4,4,3,4,2,4,Yes,Relaxed,"Recommendation from friends, Banner Ads & Leaflet",Male,22-30,
1/31/2017 20:06:34,Local Resident,"Breakfast, Lunch, Dinner",₹ 75-150,4,2,3,1,3,4,Yes,Relaxed,"Recommendation from friends, Banner Ads & Leaflet",Female,31-40,
1/31/2017 20:07:17,Local Resident,"Lunch, Dinner",₹ 150-250,3,3,2,3,2,3,Yes,Doesn't Matter,Recommendation from friends,Female,22-30,
1/31/2017 20:08:02,Local Resident,"Lunch, Dinner",₹ 75-150,3,2,2,3,2,3,Yes,Formal,Recommendation from friends,Male,22-30,
1/31/2017 20:08:43,Local Resident,"Breakfast, Lunch, Dinner",₹ 75-150,4,3,3,4,2,3,Yes,Relaxed,Recommendation from friends,Female,31-40,
1/31/2017 20:09:43,Local Resident,"Lunch, Dinner",₹ 75-150,3,2,2,3,1,2,Yes,Doesn't Matter,Recommendation from friends,Female,41-50,
1/31/2017 20:12:08,Local Resident,"Breakfast, Evening Snacks",₹ 0-75,1,2,4,1,3,1,Yes,Doesn't Matter,"Recommendation from friends, Internet",Female,22-30,
1/31/2017 20:30:02,Local Resident,"Lunch, Dinner",₹ 75-150,1,4,1,3,1,2,Yes,Doesn't Matter,"Recommendation from friends, Internet",Female,22-30,
1/31/2017 20:30:52,Local Resident,"Breakfast, Evening Snacks",₹ 0-75,1,5,1,2,3,1,Yes,Doesn't Matter,"Recommendation from friends, Random",Female,41-50,
1/31/2017 20:32:15,Local Resident,"Lunch, Dinner",₹ 150-250,2,2,3,1,2,3,Yes,Doesn't Matter,"Recommendation from friends, Internet",Female,22-30,
1/31/2017 20:34:11,Local Resident,"Breakfast, Evening Snacks",₹ 75-150,4,2,3,1,2,3,Yes,Doesn't Matter,"Recommendation from friends, Banner Ads & Leaflet",Female,31-40,
1/31/2017 20:35:10,Tourist,"Lunch, Dinner",₹ 75-150,1,2,4,1,3,1,Yes,Doesn't Matter,"Recommendation from friends, Internet",Female,31-40,
1/31/2017 20:36:17,Local Resident,"Lunch, Dinner",₹ 75-150,4,3,1,3,2,4,May be,Doesn't Matter,"Banner Ads & Leaflet, Internet",Female,22-30,
1/31/2017 20:36:51,Local Resident,"Breakfast, Evening Snacks",₹ 0-75,2,3,2,3,2,4,May be,Relaxed,Internet,Female,16-21,
1/31/2017 20:39:24,Local Resident,"Breakfast, Evening Snacks",₹ 75-150,2,3,1,2,3,1,May be,Doesn't Matter,"Recommendation from friends, Internet",Female,16-21,
1/31/2017 20:40:03,Local Resident,"Breakfast, Lunch",₹ 0-75,1,3,2,2,3,4,No,Doesn't Matter,"Banner Ads & Leaflet, Random",Female,16-21,
1/31/2017 20:40:47,Tourist,Lunch,,5,5,5,5,1,5,May be,Doesn't Matter,Random,Male,16-21,
1/31/2017 20:41:35,Tourist,Lunch,₹ 150-250,5,5,3,3,4,4,Yes,Relaxed,Recommendation from friends,Male,16-21,
1/31/2017 20:42:21,Tourist,Dinner,₹ 150-250,1,1,3,,2,2,Yes,Relaxed,Internet,Male,22-30,
1/31/2017 20:42:49,Local Resident,Lunch,₹ 150-250,5,4,3,3,3,4,No,Formal,Recommendation from friends,Male,31-40,
1/31/2017 20:43:20,Tourist,Dinner,₹ 350+,5,4,3,4,5,4,May be,Fast Casual,Internet,Male,31-40,
1/31/2017 20:43:50,Local Resident,Lunch,₹ 250-350,5,4,3,3,4,4,May be,Fast Casual,Recommendation from friends,Female,22-30,
1/31/2017 20:44:43,Local Resident,Evening Snacks,₹ 75-150,5,4,3,3,4,5,May be,Fast Casual,Banner Ads & Leaflet,Female,41-50,
1/31/2017 20:45:25,Local Resident,Breakfast,₹ 75-150,5,4,3,3,4,4,No,Formal,Banner Ads & Leaflet,Male,50+,
1/31/2017 20:45:55,Local Resident,Evening Snacks,₹ 150-250,5,4,3,2,4,5,No,Relaxed,Recommendation from friends,Female,31-40,
1/31/2017 20:46:24,Local Resident,Lunch,₹ 150-250,5,4,3,4,5,4,May be,Fast Casual,Recommendation from friends,Female,16-21,
1/31/2017 20:47:01,Tourist,"Breakfast, Lunch, Evening Snacks, Dinner",₹ 75-150,5,4,1,4,4,5,Yes,Relaxed,"Recommendation from friends, Random",Female,16-21,
1/31/2017 20:47:40,Tourist,"Lunch, Dinner",₹ 75-150,3,4,3,4,4,4,May be,Relaxed,Random,Male,22-30,
1/31/2017 20:48:10,Tourist,Dinner,₹ 75-150,5,4,4,4,4,5,Yes,Relaxed,Recommendation from friends,Male,22-30,
1/31/2017 20:48:41,Tourist,"Breakfast, Lunch, Evening Snacks, Dinner",₹ 150-250,4,4,2,4,4,4,Yes,Relaxed,Internet,Male,22-30,
1/31/2017 20:49:16,Tourist,"Breakfast, Lunch, Evening Snacks, Dinner",₹ 75-150,5,5,2,5,5,5,Yes,Relaxed,"Internet, Random",Male,22-30,
1/31/2017 20:49:41,Tourist,"Evening Snacks, Dinner",₹ 75-150,1,5,5,5,5,5,Yes,Relaxed,Random,Male,22-30,
1/31/2017 20:51:17,Local Resident,Lunch,₹ 75-150,5,4,5,3,3,4,May be,Fast Casual,Recommendation from friends,Female,22-30,
1/31/2017 20:52:04,Local Resident,Evening Snacks,₹ 75-150,5,4,4,4,5,3,No,Formal,Banner Ads & Leaflet,Female,16-21,
1/31/2017 20:52:34,Tourist,Lunch,₹ 0-75,4,3,5,3,4,5,May be,Relaxed,Internet,Male,22-30,
1/31/2017 20:52:55,Tourist,Evening Snacks,₹ 0-75,,,,,,,May be,Formal,Random,Male,16-21,
1/31/2017 20:55:30,Local Resident,Lunch,₹ 150-250,5,4,4,3,4,3,May be,Formal,Internet,Male,50+,
1/31/2017 20:56:26,Local Resident,Evening Snacks,₹ 150-250,5,4,5,3,4,3,No,Doesn't Matter,"Recommendation from friends, Random",Female,16-21,
1/31/2017 21:03:08,Tourist,"Lunch, Dinner",₹ 250-350,5,5,3,5,4,5,Yes,Relaxed,Random,Female,50+,
1/31/2017 21:03:35,Tourist,Dinner,₹ 150-250,4,4,3,3,3,3,May be,Relaxed,,Female,22-30,
1/31/2017 21:04:15,Local Resident,Lunch,₹ 0-75,1,4,3,2,3,5,Yes,Relaxed,Internet,Male,22-30,
1/31/2017 21:04:46,Tourist,Dinner,₹ 250-350,5,3,,,,4,Yes,Doesn't Matter,Recommendation from friends,Male,31-40,
1/31/2017 21:05:19,Local Resident,Lunch,₹ 250-350,5,4,3,3,4,3,May be,Fast Casual,Banner Ads & Leaflet,Female,16-21,
1/31/2017 21:05:49,Local Resident,Breakfast,₹ 0-75,3,4,2,3,3,3,Yes,Formal,Random,Male,16-21,
1/31/2017 21:06:24,Local Resident,Lunch,₹ 250-350,5,4,3,4,4,3,May be,Relaxed,Recommendation from friends,Male,22-30,
1/31/2017 21:07:14,Local Resident,Lunch,₹ 250-350,5,4,5,4,3,4,No,Formal,Recommendation from friends,Female,22-30,
1/31/2017 21:08:02,Local Resident,Evening Snacks,₹ 150-250,5,4,2,3,4,4,No,Formal,Banner Ads & Leaflet,Male,22-30,
1/31/2017 22:17:59,Local Resident,"Breakfast, Lunch",₹ 0-75,5,4,2,3,4,3,May be,Doesn't Matter,Recommendation from friends,Female,31-40,
1/31/2017 22:18:37,Local Resident,Dinner,₹ 150-250,3,5,3,3,4,3,May be,Relaxed,Banner Ads & Leaflet,Male,22-30,
1/31/2017 22:19:18,Local Resident,Lunch,₹ 150-250,1,2,1,2,3,4,May be,Formal,Random,Male,16-21,
1/31/2017 22:20:09,Tourist,Dinner,₹ 250-350,5,4,2,3,5,5,May be,Relaxed,"Banner Ads & Leaflet, Internet",Male,50+,
1/31/2017 22:20:44,Tourist,Dinner,₹ 250-350,5,4,3,4,3,5,,Relaxed,"Recommendation from friends, Internet",Female,50+,
1/31/2017 22:21:22,Tourist,Lunch,₹ 150-250,5,3,3,4,5,4,Yes,Formal,Recommendation from friends,Female,50+,
1/31/2017 22:22:06,Tourist,Evening Snacks,₹ 150-250,3,2,,3,3,2,May be,Formal,Internet,Male,31-40,
1/31/2017 22:23:00,Tourist,Evening Snacks,₹ 350+,5,5,3,4,5,4,No,Relaxed,Internet,Female,50+,
1/31/2017 22:24:00,Local Resident,Lunch,₹ 150-250,5,4,3,4,4,4,Yes,Relaxed,Recommendation from friends,Female,41-50,
1/31/2017 22:24:36,Tourist,Dinner,₹ 250-350,5,5,3,3,4,4,May be,Fast Casual,Internet,Female,50+,
1/31/2017 22:27:01,Tourist,Dinner,₹ 250-350,5,4,3,3,4,3,Yes,Fast Casual,Internet,Female,41-50,
1/31/2017 22:27:28,Local Resident,Lunch,₹ 250-350,5,4,5,3,4,5,May be,Fast Casual,Internet,,31-40,
1/31/2017 22:30:36,Tourist,Dinner,₹ 350+,5,4,3,4,5,4,Yes,Relaxed,Internet,Female,31-40,
1/31/2017 22:32:58,Local Resident,"Lunch, Dinner",₹ 75-150,4,3,3,2,1,2,Yes,Doesn't Matter,Recommendation from friends,Male,41-50,
1/31/2017 22:33:43,Tourist,Dinner,₹ 75-150,5,4,,2,3,1,May be,Formal,Recommendation from friends,Female,31-40,
1/31/2017 22:34:19,Tourist,Dinner,₹ 150-250,5,5,,5,5,,May be,Doesn't Matter,Internet,Male,31-40,
1/31/2017 22:35:06,Local Resident,Dinner,₹ 75-150,3,5,1,4,1,5,May be,Formal,Random,Male,22-30,
1/31/2017 22:36:03,Tourist,Dinner,₹ 75-150,5,4,5,4,4,5,Yes,Fast Casual,Random,Male,22-30,
